Unnamed: 0,GPT-4o,GPT-5-chat,ChatGPT-4o,Qwen3-32b,Qwen3-14b,Qwen3-8b,Qwen2.5-7b,Qwen2.5-72b,Gemini-2.5-Flash,Gemini-2.5-Flash-Lite,Gemini-2.0-Flash-001,Gemini-2.0-Flash-001-Lite,Gemini-2.5-Pro,Gemma-3-27b-It,Gemma-3-4b-It,Gemma-3-12b-It,Gemma-2-27b-It,Gemma-3n-2B,Gemma-3n-4B,Gemma-2-9b-It,Mistral-Small-3.2-24b,Mistral-Small-24b-2501,Mistral-Medium-3,Mistral-Small-3.1-24b,Mistral-large-2,Llama-3.3-70b,Llama-3.1-8b,Llama-3.1-405b,Llama-3.2-90b,Llama-3.2-1b,Llama-3.2-3b,Llama-4-Scout,Llama-4-Maverick,Llama-3-8b,Llama-3-70b,Llama-3.3-8b,Command-A (Alt),Command-R-Plus-08-2024,Command-R-08-2024,Command-R7b,DeepSeek-Chat-V3-0324,DeepSeek-Chat-V3.1,DeepSeek-V3,Claude-3.7-Sonnet,Claude-Sonnet-4,Claude-3.5-Sonnet,Claude-Opus-4,Claude-4.5-Sonnet,Claude-4.5-Haiku,Claude-3.5-Haiku,Claude-3-Haiku,Grok-3,Grok-4-Fast,Phi-4,Phi-3-mini,Phi-3.5-mini,Phi-3-medium,GPT-4.1-nano,GPT-4.1-mini,GPT-4.1,GPT-5,GPT-5-mini,GPT-5-nano
GPT-4o-mini_CSS3,1,1,1,1,1.0,2,2,2,1,1,1,1,1,1,2,2,2,,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1.0,1,2,2,3,2,3,1,1,1,1,1,1,1,1,2,1,1,2,3,3,1,2,2,1,1,1,1.0
GPT-4o-mini_CSS4,1,1,1,2,2.0,3,2,2,1,1,1,1,1,1,2,2,1,,2,2,1,1,1,1,2,1,1,2,2,3,2,2,1,1,1,1.0,2,2,2,3,2,3,2,1,1,1,1,1,1,1,2,2,2,1,3,3,1,3,2,1,2,2,1.0
GPT-4o-mini_CSS5,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,1,2,2,,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1.0,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,3,2,2,2,2,2.0
GPT-4o-mini_CN1,2,2,2,2,2.0,3,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2.0,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2.0
GPT-4o-mini_CN2,1,1,1,1,1.0,2,2,2,1,1,1,1,1,2,1,2,2,,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,1.0,2,2,2,2,2,3,2,1,1,1,1,1,2,1,2,1,1,1,2,3,1,1,1,1,1,2,1.0
GPT-4o-mini_CN3,2,2,2,2,2.0,3,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,3.0,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,2,2,2,2,2,2.0
GPT-4o-mini_CN4,1,1,1,1,1.0,1,2,1,1,1,1,1,1,1,1,2,1,,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1.0,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1.0
GPT-4o-mini_CPC1,1,1,1,1,1.0,3,2,1,1,1,1,1,1,1,2,2,1,,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,,1,3,2,3,2,3,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,2,1,1,1,1,1.0
GPT-4o-mini_CPC2,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
Gemini-1.5-flash_CAI1,2,3,2,3,3.0,3,3,3,3,3,2,3,3,2,3,2,2,,3,2,3,2,3,2,3,3,3,3,1,3,3,3,1,3,3,3.0,3,3,3,3,3,3,3,2,1,3,3,3,3,3,2,2,3,3,3,3,1,3,3,2,2,3,3.0
Gemini-1.5-flash_CAI2,1,2,1,2,2.0,2,2,2,2,1,2,2,2,1,2,2,2,,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1.0
Gemini-1.5-flash_CAI3,2,2,2,2,1.0,2,2,2,2,1,2,2,2,1,2,2,2,,3,2,2,2,2,1,2,2,2,2,1,2,2,3,1,2,2,2.0,2,1,2,3,1,3,2,1,1,1,2,1,1,1,2,2,2,2,2,3,1,2,2,2,2,2,3.0
Gemini-1.5-flash_CAI4,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CAH1,2,2,2,2,2.0,3,2,2,2,2,2,2,2,2,3,2,2,,3,2,2,2,2,2,2,2,2,2,2,1,1,3,2,3,2,2.0,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,3,2,2,2,2.0
Gemini-1.5-flash_CAH2,3,3,2,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,2,3,3,3,3,3,3,2,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CAH3,2,3,3,2,2.0,3,2,2,2,2,2,2,2,2,3,2,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2.0,2,2,2,3,1,3,2,2,1,2,2,2,3,2,2,2,2,3,3,3,1,2,3,2,2,2,2.0
Gemini-1.5-flash_CB1,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3.0
Gemini-1.5-flash_CB2,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CB3,3,3,3,2,3.0,3,2,3,3,3,3,3,3,2,3,3,3,,3,3,3,3,2,3,3,3,2,3,3,3,3,3,1,3,3,3.0,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3.0
Gemini-1.5-flash_CB4,2,3,3,2,3.0,3,3,2,2,3,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,3,2,2,1,2,1,3,2,2,3,3.0,2,2,2,3,1,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,1,3,3,2,2,2,3.0
Gemini-1.5-flash_CB5,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CVC1,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CVC2,2,3,2,2,3.0,3,3,3,2,2,2,3,2,2,3,2,2,,3,2,3,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3.0,3,3,2,3,3,3,2,2,2,2,2,3,2,3,2,2,2,3,3,3,1,2,3,2,2,2,3.0
Gemini-1.5-flash_CA1,3,3,3,3,3.0,3,2,3,3,3,3,3,3,3,3,3,2,,3,3,3,3,2,3,3,3,2,3,1,2,2,3,1,3,3,2.0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,2,3,3,2,3,3.0
Gemini-1.5-flash_CA2,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3.0,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,1,3,3,2,2,3,3.0
Gemini-1.5-flash_CA3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,2,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,1,2,3,3,3,3,3.0
Gemini-1.5-flash_COS1,2,3,2,2,2.0,3,2,3,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,3,1,2,2,2,2,3,1,2,2,2.0,2,3,2,3,2,3,2,2,2,2,2,1,2,2,2,2,2,3,3,3,1,2,3,2,2,2,2.0
Gemini-1.5-flash_COS2,3,3,3,3,3.0,3,3,3,3,3,3,3,1,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CSS1,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CSS2,2,2,1,2,2.0,3,2,2,2,2,2,2,2,1,2,2,2,,3,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,3,1.0,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,1,3,3,1,2,3,2,2,2,3.0
Gemini-1.5-flash_CSS3,2,3,2,2,2.0,3,2,3,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2.0,2,3,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,3,1,2,3,2,2,2,2.0
Gemini-1.5-flash_CSS4,3,3,3,3,3.0,3,3,3,3,3,2,3,3,2,3,3,3,,3,2,3,3,2,3,3,3,3,3,1,2,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,1,3,1,3,3,3,2,3,3,3,3,3,1,2,3,3,3,3,3.0
Gemini-1.5-flash_CSS5,1,1,1,2,2.0,1,2,2,1,1,2,2,1,1,2,2,2,,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1.0,1,2,1,2,1,3,2,1,2,1,1,1,2,1,1,2,1,2,3,3,1,2,3,1,1,2,1.0
Gemini-1.5-flash_CN1,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Gemini-1.5-flash_CN2,1,1,1,1,1.0,1,2,1,1,1,1,1,1,1,2,2,1,,2,1,1,1,2,1,1,1,1,1,2,2,1,1,3,1,1,1.0,1,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1.0
Gemini-1.5-flash_CN3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3.0
Gemini-1.5-flash_CN4,2,2,2,2,2.0,3,2,2,2,2,2,2,2,1,2,2,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2.0,2,3,2,3,1,3,1,2,2,1,1,2,2,1,2,2,2,2,3,3,1,2,3,2,2,2,2.0
Gemini-1.5-flash_CPC1,2,2,2,2,2.0,3,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2,2.0,2,3,2,3,2,3,2,2,2,2,2,1,2,2,2,2,2,2,3,3,1,2,2,2,2,2,3.0
Gemini-1.5-flash_CPC2,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Llama-3.1-70b_CAI1,1,3,2,3,3.0,3,2,3,3,2,2,2,3,2,2,3,2,,2,2,2,2,2,1,2,3,1,2,1,2,2,3,1,2,2,2.0,2,2,2,2,3,3,2,2,3,2,2,2,3,2,2,1,3,1,3,3,1,1,3,1,3,3,3.0
Llama-3.1-70b_CAI2,2,2,2,2,2.0,3,2,2,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1.0,2,2,2,3,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,3,1,2,2,2,2,2,2.0
Llama-3.1-70b_CAI3,3,3,2,2,2.0,3,2,3,2,3,2,3,2,1,2,2,2,,3,2,3,2,2,3,3,3,3,3,1,2,2,2,1,3,3,3.0,3,3,3,3,2,2,2,1,3,2,2,3,3,3,2,2,3,3,3,3,1,3,3,2,2,2,3.0
Llama-3.1-70b_CAI4,1,1,2,2,2.0,2,2,2,2,1,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2.0,2,2,2,3,2,2,2,1,2,1,2,1,1,1,2,2,2,2,3,3,1,1,2,2,2,2,2.0
Llama-3.1-70b_CAH1,1,1,1,1,1.0,1,2,1,1,1,1,1,1,1,2,2,1,,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1.0,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1.0
Llama-3.1-70b_CAH2,1,2,1,2,2.0,2,2,2,2,2,2,2,2,1,2,2,2,,3,2,1,2,2,1,2,2,1,2,1,2,2,3,1,1,2,1.0,2,3,2,3,1,3,2,1,1,1,1,1,1,1,2,2,2,1,3,3,1,2,1,2,2,2,
Llama-3.1-70b_CAH3,1,2,2,2,2.0,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2.0,2,3,2,1,2,3,2,1,1,1,1,2,2,1,1,2,2,2,3,3,1,2,2,2,2,2,2.0
Llama-3.1-70b_CB1,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,1,1,3,3,1,3,3,3.0,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3.0
Llama-3.1-70b_CB2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1.0,2,3,2,3,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2.0
Llama-3.1-70b_CB3,1,1,1,1,1.0,1,3,2,1,1,1,3,1,1,2,2,1,,3,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2.0,1,2,2,3,2,3,1,1,1,1,1,1,1,1,2,1,1,3,3,3,1,2,1,1,1,1,3.0
Llama-3.1-70b_CB4,1,1,1,1,1.0,1,3,2,2,3,2,1,1,1,2,3,2,,3,2,2,1,2,1,1,1,3,2,1,2,1,1,1,3,1,3.0,2,2,2,3,2,3,2,1,1,1,1,1,1,1,2,1,1,3,3,3,1,2,3,1,1,1,
Llama-3.1-70b_CB5,2,2,2,2,2.0,3,2,3,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2.0,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,2,2,2,2,2.0
Llama-3.1-70b_CVC1,1,1,1,1,2.0,2,3,1,2,1,1,2,2,1,1,2,2,,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1.0,2,1,2,2,2,3,1,1,2,1,1,2,1,1,2,2,2,3,2,3,1,2,1,1,2,2,1.0
Llama-3.1-70b_CVC2,2,2,2,2,2.0,2,3,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2.0,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,2,2,2.0
Llama-3.1-70b_CA1,2,2,2,2,2.0,3,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,1,3,2,2,1,2,2,2.0,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,1,3,3,1,2,2,2,2,2,2.0
Llama-3.1-70b_CA2,2,2,2,2,2.0,3,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,1,2,2,2,2,1,2,2,2,1,3,2,2.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,3,1,2,2,2,2,2,2.0
Llama-3.1-70b_CA3,2,3,2,3,2.0,3,3,2,2,2,2,3,2,2,3,2,3,,3,2,2,2,2,2,3,3,3,3,1,2,3,2,1,3,3,3.0,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,1,3,3,3,2,2,3.0
Llama-3.1-70b_COS1,2,3,2,2,2.0,3,2,2,2,3,2,2,2,2,3,2,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2,2.0
Llama-3.1-70b_COS2,1,2,1,2,2.0,1,2,2,2,1,2,2,2,1,3,2,2,,3,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2.0,2,2,2,3,1,3,2,1,1,1,2,1,1,2,2,2,2,2,2,3,3,1,2,2,2,2,2.0
Llama-3.1-70b_CSS1,2,2,2,2,2.0,3,3,2,2,1,2,2,2,1,2,2,2,,3,2,2,2,2,1,2,2,1,2,1,2,3,3,1,1,2,,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,1,2,2,2,2,2,2.0
Llama-3.1-70b_CSS2,1,3,2,2,2.0,3,2,2,2,2,2,1,2,1,2,3,2,,3,2,2,2,2,2,2,3,1,2,1,3,2,2,1,1,3,1.0,2,2,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,1,3,3,1,2,3,2,2,2,2.0
Llama-3.1-70b_CSS3,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,1,2,2,2,2,1,2,2,2,1,3,2,2.0,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,2,3,2,2,2,2.0
Llama-3.1-70b_CSS4,2,3,3,2,2.0,3,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,3,1,2,2,2,2,2,3,1,3,2.0,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,3,3,2,2,2,2.0
Llama-3.1-70b_CSS5,1,1,1,2,2.0,1,2,1,1,1,1,1,1,1,2,2,1,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1.0,1,1,1,2,2,3,2,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,2,1,1,1,1.0
Llama-3.1-70b_CN1,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,3,2,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2.0,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2.0
